ID,MOVIE,YEAR,RATING,WATCHED,CINEMA
281957,The Revenant,2015,4,2016-01-01,FALSE
273248,The Hateful 8,2015,5,2016-01-02,TRUE
9741,Unbreakable,2000,3,2016-01-03,FALSE
141,Donnie Darko,2001,4,2016-01-03,FALSE
24,Kill Bill vol. 1,2003,4,2016-01-03,FALSE
312221,Creed,2015,4,2016-01-03,FALSE
500,Reservoir Dogs,1992,5,2016-01-04,FALSE
393,Kill Bill vol. 2,2004,4,2016-01-04,FALSE
129,Spirited Away,2001,3,2016-01-05,FALSE
935,Dr. Strangelove,1964,3,2016-01-09,FALSE
289,Casablanca,1942,3,2016-01-11,FALSE
7735,Die Welle,2008,3,2016-02-02,FALSE
318846,The Big Short,2015,2,2016-02-02,FALSE
5955,The Pledge,2001,2,2016-02-05,FALSE
37257,Witness for the Prosecution,1957,5,2016-02-06,FALSE
261023,Black Mass,2015,3,2016-02-07,FALSE
1573,Die Hard 2,1990,3,2016-02-08,FALSE
314365,Spotlight ,2015,5,2016-02-08,FALSE
9366,Donnie Brasco,1997,3,2016-02-09,FALSE
293660,Deadpool,2016,5,2016-02-11,TRUE
264644,Room,2015,5,2016-02-14,FALSE
642,Butch Cassidy and the Sundance Kid,1969,5,2016-02-14,FALSE
4771,Gone Baby Gone,2007,4,2016-02-17,FALSE
50348,The Lincoln Lawyer,2011,3,2016-02-19,FALSE
111083,El Cuerpo,2012,3,2016-02-21,FALSE
3432,Mr Brooks,2007,3,2016-02-26,FALSE
85,Raiders of Lost Ark,1981,5,2016-02-27,FALSE
197,Braveheart,1995,5,2016-02-27,FALSE
3580,Changeling,2008,4,2016-02-29,FALSE
10778,The Man Who Wasn't There,2001,5,2016-03-01,FALSE
87,Indiana Jones and the Temple of Doom,1984,4,2016-03-04,FALSE
11096,Hide and Seek,2005,2,2016-03-05,FALSE
310131,The VVitch,2015,5,2016-03-06,TRUE
55,Amore Perros,2000,3,2016-03-12,FALSE
228202,Meu Passado Me Condena,2013,1,2016-03-20,FALSE
209112,Batman v Superman: Dawn of Justice,2016,3,2016-03-24,TRUE
264660,Ex Machina,2015,5,2016-03-25,FALSE
1598,Cape Fear,1991,3,2016-03-26,FALSE
15472,Os Homens que não Amavam as Mulheres,2009,4,2016-03-31,FALSE
592,The Conversation,1974,4,2016-04-07,FALSE
333371,10 Cloverfield Lane,2016,5,2016-04-10,TRUE
1580,Rope,1949,5,2016-04-16,FALSE
223,Rebecca,1940,4,2016-04-22,FALSE
278927,The Jungle Book,2016,5,2016-04-22,TRUE
376570,Hush,2016,4,2016-04-23,FALSE
271110,Captain America 3: Civil War,2016,4,2016-04-28,TRUE
89,Indiana Jones and the Last Crusade,1989,4,2016-04-30,FALSE
924,Dawn of the Dead,2004,5,2016-05-01,FALSE
49517,Tinker Tailor Soldier Spy,2011,4,2016-05-05,FALSE
307081,Southpaw,2015,5,2016-05-06,FALSE
521,Dial M for Murder,1954,5,2016-05-09,FALSE
207686,La casa del fin de los tiempos,2013,3,2016-05-14,FALSE
612,Munich,2005,4,2016-05-17,FALSE
45317,The Fighter,2010,4,2016-05-19,FALSE
10633,In the Heat of the Night ,1967,4,2016-05-20,FALSE
277216,Straight Outta Compton,2015,5,2016-05-22,FALSE
158011,The Call,2013,3,2016-05-25,FALSE
46738,Incendies,2010,4,2016-05-27,FALSE
1246,Rocky Balboa,2006,4,2016-06-03,FALSE
195589,Neighbors,2014,4,2016-06-07,FALSE
1091,The Thing,1982,5,2016-06-10,FALSE
9426,The Fly,1986,4,2016-06-11,FALSE
11423,Memories of Murder,2003,4,2016-06-12,FALSE
259693,The Conjuring 2,2016,5,2016-06-15,TRUE
4553,The Machinist,2004,5,2016-06-18,FALSE
181886,Enemy,2013,4,2016-06-18,FALSE
82633,Lawless,2012,4,2016-06-19,FALSE
24253,A Menina Que Brincava Com Fogo,2009,4,2016-06-21,FALSE
426,Vertigo,1958,4,2016-06-21,FALSE
23629,Sucker Punch,2011,3,2016-06-23,FALSE
262,The King of Comedy,1982,5,2016-06-23,FALSE
451,Leaving Las Vegas,1995,4,2016-06-26,FALSE
11906,Suspiria,1977,3,2016-06-30,FALSE
1359,American Psycho,2000,4,2016-06-30,FALSE
207,Dead Poets Society,1989,4,2016-07-03,FALSE
164457,Out of the Furnace,2013,3,2016-07-03,FALSE
127380,Finding Dory,2016,4,2016-07-03,TRUE
6145,Fracture,2007,3,2016-07-10,FALSE
64690,Drive,2011,5,2016-07-14,FALSE
1538,Collateral,2004,4,2016-07-17,FALSE
37903,A Fita Branca,2009,3,2016-07-22,FALSE
13016,Zeitgeist,2007,3,2016-07-25,FALSE
2118,L.A. Confidential,1997,4,2016-07-25,FALSE
10734,Escape From Alcatraz,1979,3,2016-07-31,FALSE
256917,The Water Diviner,2014,3,2016-08-01,FALSE
297761,Suicide Squad,2016,3,2016-08-05,TRUE
1480,Touch Of Evil,1958,4,2016-08-09,FALSE
290250,The Nice Guys,2016,4,2016-08-13,FALSE
968,Dog Day Afternoon,1975,5,2016-08-19,FALSE
11368,Blood Simple ,1984,3,2016-08-20,FALSE
321741,Concussion,2015,4,2016-08-21,FALSE
855,Black Hawk Down,2001,4,2016-08-22,FALSE
11336,The Dead Zone,1983,4,2016-08-26,FALSE
2252,Eastern Promises,2007,4,2016-08-28,FALSE
153,Lost in Translation,2003,4,2016-08-31,FALSE
192,The Name of The Rose,1986,4,2016-09-01,FALSE
13475,Star Trek,2009,4,2016-09-04,FALSE
11206,Wait Until Dark,1967,5,2016-09-12,FALSE
300669,Don't Breathe,2016,5,2016-09-16,TRUE
553,Dogville,2003,4,2016-09-18,FALSE
283366,Miss Peregrine's Home for Peculiar Children,2016,3,2016-10-09,TRUE
45094,Conviction,2010,4,2016-10-16,FALSE
335796,Ouija: Origin of Evil,2016,3,2016-10-24,TRUE
12153,White Chicks,2004,3,2016-10-29,FALSE
31011,Mr. Nobody,2009,4,2016-10-31,FALSE
333352,Eye in the Sky,2015,3,2016-12-07,FALSE
284052,Doctor Strange,2016,4,2016-11-03,TRUE
176,Saw,2004,5,2016-11-04,FALSE
650,Boyz n the Hood,1991,4,2016-11-05,FALSE
54138,Star Trek Into Darkness,2013,3,2016-11-07,FALSE
671,Harry Potter and the Sorcerer's Stone,2001,4,2016-11-13,FALSE
672,Harry Potter and the Chamber of Secrets,2002,4,2016-11-13,FALSE
673,Harry Potter and the Prisoner of Azkaban,2004,5,2016-11-14,FALSE
674,Harry Potter and the Goblet of Fire,2005,4,2016-11-06,FALSE
259316,Fantastic Beast and Where to Find Them,2016,4,2016-11-17,TRUE
675,Harry Potter and the Order of Phoenix,2007,4,2016-11-26,FALSE
767,Harry Potter and the Half-Blood Prince,2009,4,2016-11-27,FALSE
12444,Harry Potter and the Deathly Hallows Part I,2010,4,2016-12-11,TRUE
329865,Arrival,2016,4,2016-12-14,FALSE
12445,Harry Potter and the Deathly Hallows Part II,2011,5,2016-12-18,FALSE
8681,Taken,2008,4,2016-12-19,FALSE
330459,Rogue One,2016,4,2016-12-19,TRUE
9631,The Negotiator,1998,5,2016-12-24,FALSE
329440,The Forest,2016,3,2016-12-27,FALSE
302946,The Accountant,2016,3,2016-12-28,FALSE
345911,Lights Out,2016,4,2016-12-30,FALSE
313369,La La Land,2016,5,2017-01-17,FALSE
376867,Moonlight,2016,5,2017-01-21,FALSE
346685,The Girl on The Train,2016,2,2017-01-22,FALSE
334541,Manchester by the Sea,2016,4,2017-01-26,FALSE
338766,Hell or High Water,2016,4,2017-02-01,FALSE
393457,Fences,2016,3,2017-02-04,TRUE
381284,Hidden Figures,2016,4,2017-02-09,TRUE
263115,Logan,2017,4,2017-03-02,FALSE
377462,O.J.: Made in America,2016,5,2017-03-18,FALSE
75638,Red Lights,2012,2,2017-03-18,FALSE
381288,Split,2017,4,2017-03-24,TRUE
68730,Silence,2016,3,2017-03-25,FALSE
245891,John Wick,2014,4,2017-03-27,FALSE
315837,Ghost in the Shell,2017,3,2017-03-30,TRUE
363676,Sully,2016,3,2017-04-22,FALSE
283995,Guardians of the Galaxy Vol. 2,2017,4,2017-05-01,TRUE
419430,Get Out,2017,4,2017-05-14,FALSE
397243,The Autopsy of Jane Doe,2016,3,2017-05-28,FALSE
297762,Wonder Woman,2017,4,2017-06-01,TRUE
324552,John Wick: Chapter 2,2017,3,2017-06-04,FALSE
395992,Life,2017,3,2017-06-11,FALSE
9693,Children of Men,2006,3,2017-06-16,FALSE
120,The Lord of the Rings: The Fellowship of the Ring,2001,4,2017-06-18,FALSE
61791,Rise of the Planet of the Apes,2011,4,2017-06-28,FALSE
119450,Dawn of the Planet of the Apes,2014,4,2017-07-01,FALSE
328387,Nerve,2017,3,2017-07-02,FALSE
315635,Spider-Man: Homecoming,2017,4,2017-07-07,TRUE
411088,Contratiempo,2016,3,2017-07-09,FALSE
65086,The Woman in Black,2012,3,2017-07-25,FALSE
374720,Dunkirk,2017,4,2017-07-28,TRUE
18405,The Last House on the Left,2009,3,2017-07-30,FALSE
281338,War for the Planet of the Apes,2017,5,2017-08-06,TRUE
306947,The Invitation,2015,3,2017-08-11,FALSE
12477,Grave of the Fireflies,1988,5,2017-08-11,FALSE
372058,Your Name,2016,4,2017-08-12,FALSE
9323,Ghost In The Shell,1995,3,2017-08-13,FALSE
351460,Death Note,2017,1,2017-08-26,FALSE
396422,Annabelle: Creation,2017,3,2017-08-27,TRUE
418078,It Comes At Night,2017,2,2017-09-01,FALSE
7446,Tropic Thunder,2008,4,2017-09-03,FALSE
345938,The Shack,2017,2,2017-09-09,FALSE
346364,It,2017,5,2017-09-15,TRUE
238,The Godfather,1972,5,2017-09-17,FALSE
381283,Mother,2017,4,2017-10-03,TRUE
335984,Blade Runner 2049,2017,5,2017-10-10,TRUE
339403,Baby Driver,2017,4,2017-10-22,FALSE
343674,Gerald's Game,2017,3,2017-11-03,FALSE
284053,Thor: Ragnarok,2017,3,2017-11-03,TRUE
395834,Wind River,2017,3,2017-11-12,FALSE
141052,Justice League,2017,3,2017-11-16,TRUE
269149,Zootopia,2016,4,2017-11-17,FALSE
294016,Trumbo,2015,4,2017-12-16,FALSE
400106,Bright,2017,3,2017-12-23,FALSE
181808,Star Wars: Episode VIII The Last Jedi,2017,4,2017-12-26,TRUE
297762,Wonder,2017,4,2018-01-02,TRUE
21208,Orphan,2009,3,2018-01-21,FALSE
2898,As Good as It Gets,1997,3,2018-01-28,FALSE
49018,Insidious,2010,3,2018-02-16,FALSE
446354,The Post,2017,3,2018-02-22,FALSE
392044,Murder on the Orient Express,2017,3,2018-03-01,FALSE
399055,The Shape of Water,2017,4,2018-03-05,FALSE
429200,Good Time,2017,3,2018-03-09,FALSE
284054,Black Panther,2018,3,2018-03-13,TRUE
359940,Three Billboards Outside Ebbing Missouri,2017,4,2018-03-17,FALSE
354912,Coco,2017,4,2018-03-21,FALSE
300668,Annihilation,2018,3,2018-03-25,FALSE
333339,Ready Player One,2018,3,2018-03-29,TRUE
447332,A Quiet Place,2018,4,2018-04-02,TRUE
91586,Insidious: Chapter 2,2013,3,2018-04-06,FALSE
280092,Insidious: Chapter 3,2015,3,2018-04-10,FALSE
862,Toy Story,1995,5,2018-04-14,FALSE
9487,A Bug's Life,1998,4,2018-04-18,FALSE
299536,Avengers: Infinity War,2018,4,2018-04-22,TRUE
863,Toy Story 2,1999,3,2018-04-26,FALSE
585,Monsters Inc,2001,4,2018-04-30,FALSE
371638,The Disaster Artist,2017,4,2018-05-15,FALSE
353486,Jumanji: Welcome to the Jungle,2017,3,2018-06-01,FALSE
383498,Deadpool 2,2018,3,2018-06-03,TRUE
343668,Kingsman: The Golden Circle,2017,3,2018-07-05,FALSE
425972,Cargo,2017,3,2018-06-08,FALSE
49047,Gravity,2013,5,2018-06-08,FALSE
401981,Red Sparrow,2018,3,2018-06-09,FALSE
260513,Incredibles 2,2018,5,2018-06-28,TRUE
334533,Captain Fantastic,2016,4,2018-07-01,FALSE
363088,Ant-Man and the Wasp,2018,3,2018-07-05,TRUE
338970,Tomb Raider,2018,3,2018-07-07,FALSE
476299,Ghostland,2018,3,2018-07-07,FALSE
345,Eyes Wide Shut,1999,4,2018-07-08,FALSE
56292,Mission: Impossible – Ghost Protocol,2011,3,2018-07-28,FALSE
353081,Mission: Impossible - Fallout,2018,3,2018-08-03,TRUE
281,Strange Days,1995,3,2018-08-25,FALSE
493922,Hereditary,2018,4,2018-08-25,FALSE
500664,Upgrade,2018,3,2018-08-26,FALSE
393519,Raw,2016,3,2018-09-01,FALSE
6114,Dracula,1992,4,2018-09-02,FALSE
162,Edward Scissorhands,1991,4,2018-09-07,FALSE
439079,The Nun,2018,3,2018-09-08,TRUE
259693,The Conjuring 2,2016,5,2018-09-08,FALSE
489999,Searching,2018,4,2018-09-28,TRUE
335983,Venom,2018,3,2018-10-10,TRUE
318256,Hot Girls Wanted,2015,3,2018-10-10,FALSE
22538,Scott Pilgrim vs. the World,2010,4,2018-10-25,FALSE
351286,Jurassic World: Fallen Kingdom,2018,3,2018-10-28,FALSE
345887,The Equalizer 2,2018,3,2018-10-31,FALSE
418680,Goodbye Christopher Robin,2017,3,2018-11-01,FALSE
948,Halloween,1978,3,2018-11-04,TRUE
338952,Fantastic Beasts: The Crimes of Grindelwald,2018,3,2018-12-07,TRUE
297802,Aquaman,2018,4,2018-12-09,TRUE
405774,Bird Box,2018,4,2018-12-23,FALSE
339877,Loving Vincent,2017,4,2019-01-11,FALSE
424694,Bohemian Rhapsody,2018,3,2019-02-20,FALSE
299537,Captain Marvel,2019,3,2019-03-16,TRUE
490132,Green Book,2018,4,2019-03-10,FALSE
480530,Creed II,2018,4,2019-03-24,FALSE
287947,Shazam,2019,4,2019-04-07,TRUE
299534,Avengers: Endgame,2019,4,2019-04-21,FALSE
450465,Glass,2019,3,2019-04-28,FALSE
487558,BlacKKKlansman,2018,4,2019-06-12,FALSE
458723,Us,2019,4,2019-06-25,FALSE
474350,It Chapter Two,2019,3,2019-09-07,TRUE
310307,The Founder,2017,3,2019-09-18,FALSE
475557,Joker,2019,5,2019-10-01,TRUE
559969,El Camino,2019,4,2019-10-04,FALSE
568091,Fractured,2019,3,2019-10-16,FALSE
396422,Annabelle: Creation,2017,4,2019-11-01,FALSE
398978,The Irishman,2019,3,2019-12-05,FALSE
181812,Star Wars: The Rise of Skywalker,2019,3,2019-12-26,TRUE
496243,Parasite,2019,4,2020-01-01,FALSE
546554,Knives Out,2019,5,2020-01-03,FALSE
503919,The Lighthouse,2019,3,2020-01-04,FALSE
466272,Once Upon a Time in Hollywood,2019,5,2020-01-21,FALSE
515001,Jojo Rabbit,2019,4,2020-02-01,FALSE
157433,Pet Sematary,2019,3,2020-01-21,FALSE
530915,1917,2019,4,2020-01-31,TRUE
473033,Uncut Gems,2019,5,2020-02-13,FALSE
64682,The Great Gatsby,2013,3,2020-02-25,FALSE
68722,The Master,2012,3,2020-02-27,FALSE
265195,Relatos salvajes,2014,3,2020-03-02,FALSE
207932,Inferno,2016,2,2020-03-05,FALSE
570670,The Invisible Man,2020,4,2020-03-09,TRUE
501170,Doctor Sleep,2019,4,2020-03-22,FALSE
619264,The Platform,2019,4,2020-03-28,FALSE
359724,Ford vs Ferrari,2019,4,2020-04-09,FALSE
492188,Marriage Story,2019,3,2020-04-11,FALSE
595,To Kill a Mockingbird,1962,3,2020-04-12,FALSE
105,Back To The Future,1985,4,2020-04-19,FALSE
446159,Bacurau,2019,4,2020-04-25,FALSE
331482,Little Women,2019,4,2020-05-01,FALSE
429617,Spider-Man: Far from Home,2019,5,2020-05-02,FALSE
324857,Spider-Man: Into the Spider-Verse,2018,5,2020-05-09,FALSE
530385,Midsommar,2019,4,2020-05-17,FALSE